"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers"
"Ouroboros",",Seigi,Ouroboros - Kono Ai koso","Jan 16, 2015 - Mar 20, 2015","","Japan","46","10","Suspense,Tragedy,Action,Investigation,Detective,Crime","ウロボロス この愛こそ、正義","TBS","360","252","8.6","3801","Father-Son Relationship,Hidden Identity,Secret Organization,Bromance,Police Officer,Orphan Male Lead,Mafia,Secret Relationship,Smart Male Lead,Trauma","10364"
"The Princess' Man","Gongjooeui Namja,Princess' Man,Kongjooui Namja","Jul 20, 2011 - Oct  6, 2011","Wednesday,Thursday","South Korea","65","24","Historical,Romance,Political,Action","공주의 남자","KBS2","209","255","8.6","6536","Princess,Joseon Dynasty,Family Pressure,Power Struggle,Forbidden Love,Impulsive Female Lead,Death,Strong Male Lead,Strong Female Lead,Star Crossed Lovers","14971"
"W","W – Two Worlds,W – Two Worlds Apart,W-두 개의 세계","Jul 20, 2016 - Sep 14, 2016","Wednesday,Thursday","South Korea","60","16","Suspense,Fantasy,Comedy,Action,Drama,Romance,Melodrama,Thriller","더블유","MBC","7","256","8.6","34113","Parallel Dimension,Webtoon Artist,Steamy Kiss,Star Crossed Lovers,Crossworlds Traveler,Lovers Separated,Serial Killer,Heartfelt,Murder,Rich Male Lead","57208"
"Thirty But Seventeen","Seoreunijiman Yeolilgobibmida,Still 17,30 but 17,but Seventeen,Thirty","Jul 23, 2018 - Sep 18, 2018","Monday,Tuesday","South Korea","35","32","Comedy,Friendship,Family,Life,Drama,Romance,Mystery,Music","서른이지만 열일곱입니다","SBS","117","260","8.6","10806","Love Triangle,First Love,Naive Female Lead,Cohabitation,Healing,Tragic Past,Eccentric Male Lead,Socially Awkward Protagonist,Trauma,Nice Female Lead","20742"
"dele","","Jul 27, 2018 - Sep 14, 2018","Friday","Japan","48","8","Business,Friendship,Life,Drama,Investigation,Mystery,Crime","ディーリー","TV Asahi","2032","262","8.7","732","Disabled Character,Nice Male Lead,Bromance,Cold Man,Disability,Hacker,Episodic Format,Eccentric Male Lead,Tragic Past,Death","1958"
"Doctor John","닥터룸,Doctor Room,Pain Doctor Cha Yo Han,통증의사 차요한,Doctor Cha,Uisa Yohan,The Doctor's Room,Doctor's Room,The Doctor Room,Tongjeunguisa Chayohan,Dagteolum","Jul 19, 2019 - Sep  7, 2019","Saturday,Friday","South Korea","35","32","Drama,Romance,Medical,Mystery","의사 요한","SBS","442","264","8.6","3744","Adapted From A Novel,Student/teacher,Age Gap,Smart Male Lead,Mature Protagonist,Eccentric Male Lead,Doctor,Trauma,PTSD,Euthanasia","8508"
"I'm Not a Robot","Robosi Aniya,It's Not a Robot,She's not a robot,I Am Not a Robot,Roboti Aniya","Dec  6, 2017 - Jan 25, 2018","Wednesday,Thursday","South Korea","35","32","Comedy,Friendship,Drama,Sci-Fi,Romance","로봇이 아니야","MBC","35","266","8.6","21083","Robot,Hidden Identity,Fluffy,Sismance,Haphephobia,Eccentric Male Lead,Artificial Intelligence,Betrayal,Deception,Rich Male Lead","36964"
"Code Blue 3","","Jul 17, 2017 - Sep 18, 2017","Monday","Japan","45","10","Drama,Medical","コード・ブルー第3弾","Fuji TV","1847","268","8.7","959","Nikkan Daily Sports Drama GP,Doctor,Idol Actor,Hey! Say! Jump,Emergency Service","2176"
"Two Weeks","Toowikseu","Aug  7, 2013 - Sep 26, 2013","Wednesday,Thursday","South Korea","65","16","Suspense,Action,Drama,Investigation,Thriller","투윅스","MBC","198","267","8.6","6928","First Love,Child,Father-Daughter Relationship,Conspiracy,Police Officer,Single Parent,Gang,Wrongfully Accused,Crime Solving,Strong Male Lead","15461"
"Voice","더 보이스,The Voice,Boiseu","Jan 14, 2017 - Mar 12, 2017","Saturday,Sunday","South Korea","60","16","Psychological,Investigation,Detective,Mystery,Thriller","보이스","OCN","231","269","8.6","6561","Golden Hour,Smart Protagonist,Psychopath,Tough Female Lead,Stoic Characters,Sly Character,Serial Killer,Strong Female Lead,Special Power,Competent Protagonist","14388"
"Boku no Ita Jikan","Time I Was In,The Hours of My Life","Jan  8, 2014 - Mar 19, 2014","Wednesday","Japan","54","11","Drama,Romance,Melodrama,Life","僕のいた時間","Fuji TV","371","271","8.6","3618","Father-Son Relationship,Illness,Tearjerker,Nice Male Lead,Terminal Illness,Disability,Smart Male Lead,Mother-Daughter Relationship,Strong Female Lead,Love Confession","10055"
"Queen In Hyun's Man","Inhyeonwanghooui Namja,Queen And I,Queen Inhyun's Man","Apr 18, 2012 - Jun  7, 2012","Wednesday,Thursday","South Korea","45","16","Historical,Romance,Comedy,Supernatural","인현왕후의 남자","tvN","44","274","8.6","16526","Calm Male Lead,Nice Male Lead,Joseon Dynasty,Scholar,Smart Male Lead,Time Travel,Actress,Famous Lead/Common Lead,Female Chases Male First,Strong Male Lead","31957"
"Arsenal Military Academy",",Lie Huo Jun Xiao","Aug  6, 2019 - Sep  6, 2019","Friday,Wednesday,Thursday,Tuesday","China","45","48","Comedy,Friendship,Action,Romance,Military,Historical","烈火军校","iQiyi","921","275","8.6","1670","Hate To Love,Teamwork,Slow Burn Romance,Smart Female Lead,Character Development,Cross-Dressing,Eccentric Male Lead,Smart Male Lead,Hardworking Female Lead,Strong Female Lead","4451"
"Ever Night","Ever Night Season 1,将夜之帝国的清晨,Jiang Ye,將夜","Oct 31, 2018 - Jan  4, 2019","Wednesday,Friday,Thursday","China","45","60","Martial Arts,Fantasy,Adventure,Action,Drama,Romance,Wuxia","将夜","Tencent Video","959","277","8.7","1233","Hidden Identity,Height Difference,Adapted From A Novel,Strong Female Characters,Sword-fight,Revenge,Fight,Xianxia,Master-Student Relationship,Strong Male Lead","4281"
"The Confidence Man JP","Konfidensu Man JP","Apr  9, 2018 - Jun 11, 2018","Monday","Japan","45","10","Crime,Action,Comedy,Friendship","コンフィデンスマンJP","Fuji TV","2800","276","8.8","419","Con Artist,Older Woman/Younger Man,Fraud,Criminal","1276"
"What's Wrong with Secretary Kim","What's Wrong With Secretary Kim?,Kimbiseoga Wae Geureolgga,Why Would Secretary Kim Do That,김 비서가 왜 그럴까,Why Secretary Kim","Jun  6, 2018 - Jul 26, 2018","Wednesday,Thursday","South Korea","69","16","Romance,Business,Comedy,Friendship","김비서가 왜 그럴까","tvN","31","278","8.6","23059","Phobia,Male Chases Female First,Steamy Kiss,Office Romance,Adapted From A Webtoon,Arrogant Male Lead,Boss/Employee Relationship,Rich Male Lead,Trauma,Calm Female Lead","39488"
"Fight For My Way","Third-Rate My Way,Ssam Maiwei","May 22, 2017 - Jul 11, 2017","Monday,Tuesday","South Korea","60","16","Business,Comedy,Friendship,Life,Romance,Youth","쌈 마이웨이","KBS2","37","280","8.6","20130","Childish Male Lead,Ex-girlfriend Comes Back,Badass Male Lead,Nice Male Lead,Poor Male Lead,Childhood Friends,Friends To Lovers,Secondary Couple,Strong Male Lead,Strong Female Lead","36078"
"Love O2O","Your Smile is very Alluring,Just One Smile is Very Alluring,Cinderella is Online,Wei Wei Yi Xiao Hen Qing Cheng,Love Online to Offline,Weiwei's Beautiful Smile,A Smile is Beautiful","Aug 22, 2016 - Sep  6, 2016","Saturday,Friday,Monday,Thursday,Wednesday,Tuesday","China","45","30","Business,Comedy,Adventure,Friendship,Drama,Romance","微微一笑很倾城","JSTV","66","281","8.6","16168","Calm Male Lead,Instant Attraction,First Love,Male Chases Female First,Nice Male Lead,Online Gaming,Sismance,Smart Male Lead,Gaming,College Life","28061"
"Duel","Dual,Dyooeol","Jun  3, 2017 - Jul 23, 2017","Saturday,Sunday","South Korea","60","16","Suspense,Crime,Sci-Fi,Thriller","듀얼","OCN","535","284","8.6","2314","Smart Protagonist,Flashback To Past,Father-Daughter Relationship,Attempted Assault,Attempted Murder,Tough Female Lead,Family Secret,Human Experimentation,Amnesia,Competent Protagonist","7273"
"Boku dake ga Inai Machi","ERASED,The Town Where Only I Am Missing","Dec 15, 2017","Friday","Japan","30","12","Suspense,Fantasy,Drama,Thriller,Supernatural","僕だけがいない街","Netflix","646","286","8.6","2815","Web Series,Child,Child Abuse,Sanbe Kei,Elementary School,Snowy Setting,Adapted From A Manga,Time Travel,Serial Killer,Amnesia","6121"
"Scarlet Heart",",Startling By Each Step,Bu Bu Jing Xin","Sep 10, 2011 - Sep 29, 2011","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","35","Tragedy,Friendship,Political,Drama,Romance,Historical,Supernatural","步步惊心","Hunan TV","523","288","8.6","3264","Male Chases Female First,Adapted From A Novel,Harem,Cold Man,Sibling Rivalry,Time Travel,Kangxi Emperor,Strong Female Lead,Power Struggle,Qing Dynasty","7410"
"Kamen Rider W",",Kamen Rider Double,Daburu,Kamen Raid #257","Sep  6, 2009 - Aug 29, 2010","Sunday","Japan","24","49","Martial Arts,Comedy,Friendship,Tokusatsu,Action,Sci-Fi,Mystery","仮面ライダーＷ","TV Asahi","1898","289","8.7","962","Human Experimentation","2114"
"Extraordinary You","July Found by Chance,A Day Found By Chance,Ha-Roo Found by Chance,Extra-ordinary You,Suddenly July,Find July,How I Found It in July,Eojjeoda balgyeonhan haru,어쩌다 발견한 7월,Suddenly one day,Eojjeoda Balgyeonhan Haroo,Eojjeoda Balgyeonhan 7wol","Oct  2, 2019 - Nov 21, 2019","Wednesday,Thursday","South Korea","35","32","School,Fantasy,Comedy,Friendship,Drama,Romance","어쩌다 발견한 하루","MBC","183","294","8.6","7784","Sassy Female Lead,Reincarnated Lovers,Illness,Height Difference,Nice Male Lead,Adapted From A Webtoon,High School,Youth Romance,Idol Actor,Love Triangle","16275"
"Kyou Kara Ore wa!!","It's My Turn!!,From Today","Oct 14, 2018 - Dec 16, 2018","Sunday","Japan","46","10","School,Comedy,Friendship,Action,Youth","今日から俺は！！","NTV","1985","292","8.7","624","School Rivalry,Delinquent,Bromance,Nogizaka46,High School,Idol,Slight Romance,1980s,Adapted From A Manga,Yakuza","2013"
"Legend of Concubine Zhen Huan","Inner Palace: Zhen Huan Biography,Empresses In The Palace,后宫甄嬛传,Hou Gong Zhen Huan Zhuan,甄嬛传","Mar 26, 2012 - May  2, 2012","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","76","","後宮甄嬛傳","BTV","1510","295","8.6","1049","Concubine,Yongzheng Emperor,Adapted From A Novel,Harem,Strong Female Characters,Revenge,Death,Strong Female Lead,Power Struggle,Qing Dynasty","2731"
"A Love So Beautiful","To Our Pure Little Beauty,Zhi Wo Men Dan Chun De Xiao Mei Hao","Nov  9, 2017 - Dec  7, 2017","Friday,Thursday","China","45","23","School,Comedy,Friendship,Youth,Romance","致我们单纯的小美好","Tencent Video","146","297","8.6","10344","First Love,Neighbours,Unrequited Love,Height Difference,Adapted From A Novel,Cold Man,High School,Cheerful Girl,Female Chases Male First,Love Triangle","18332"
"Nine: Nine Times Time Travel","Nain: Ahop Beonui Siganyeohaeng","Mar 11, 2013 - May 14, 2013","Monday,Tuesday","South Korea","52","20","Romance,Mystery,Supernatural","나인: 아홉 번의 시간여행","tvN","299","300","8.6","4544","Time Travel,1990s","12157"
"Come and Hug Me","Come Here And Give Me A Hug,Yiriwa Anajwoe","May 16, 2018 - Jul 19, 2018","Wednesday,Thursday","South Korea","35","32","Suspense,Drama,Investigation,Romance,Detective,Melodrama,Thriller,Family,Crime","이리와 안아줘","MBC","168","301","8.6","7069","Violence,First Love,Tearjerker,Nice Male Lead,Psychopath,Childhood Friends,Tragic Past,Serial Killer,Trauma,Murder","17153"
"Put Your Head on My Shoulder","Zhi Wo Men Nuan Nuan De Xiao Shi Guang,To Our Warm Little Times","Apr 10, 2019 - May  8, 2019","Wednesday,Thursday","China","45","24","School,Comedy,Friendship,Youth,Romance","致我们暖暖的小时光","Tencent Video","236","302","8.6","7594","Male Chases Female First,Naive Female Lead,Height Difference,Adapted From A Novel,Cohabitation,Fluffy,Cold Man,Smart Male Lead,College Life,Strong Female Lead","14233"
"Voice 2","Boiseu 2","Aug 11, 2018 - Sep 16, 2018","Saturday,Sunday","South Korea","60","12","Psychological,Detective,Mystery,Thriller","보이스 2","OCN","968","305","8.6","2017","Badass Female Lead,Mad Dog,Underdog,Leadership,Psychopath,Cold Man,Low Self-esteem Protagonist,Workplace Abuse,Socially Awkward Protagonist,Strong Female Lead","4249"
"The Tale of Nokdu","Nok Du Jeon,The Joseon Romantic-Comedy Tale of Nok-Du,Nok Du Chronicle,Joseon Roko Nok Du Jeon,Joseon Loco - Mung Bean Chronicles,Tale of Nok-Du,Joseonroko Nokdujeon,Mung Bean Chronicles,녹두전,Mung Bean Chronicle,Mung Bean Pancake","Sep 30, 2019 - Nov 25, 2019","Monday,Tuesday","South Korea","33","32","Historical,Romance,Action,Comedy","조선로코 녹두전","KBS2","304","304","8.6","4466","First Love,Gender Bender,Smart Female Lead,Joseon Dynasty,Double Identity,Cross-Dressing,Orphan Female Lead,Smart Male Lead,Strong Male Lead,Strong Female Lead","11974"
"Doctor X 5","","Oct 12, 2017 - Dec 14, 2017","Thursday","Japan","45","10","Drama,Medical","ドクターX〜外科医・大門未知子〜 第5期","TV Asahi","4432","308","8.8","315","Nikkan Daily Sports Drama GP","633"
"Project S: Side by Side","","Jul 15, 2017 - Sep  2, 2017","Saturday","Thailand","45","8","Family,Youth,Sports,Melodrama","โปรเจกต์ เอส เดอะซีรีส์: พี่น้องลูกขนไก่","GMM 25","2278","309","8.7","707","Bromance,Badminton,Autism","1680"
"Love and Destiny","三生三世宸汐缘,Chen Xi Yuan,San Sheng San Shi Chen Xi Yuan,The Fate of Chen Xi","Jul 15, 2019 - Aug 16, 2019","Friday,Monday,Thursday,Wednesday,Tuesday","China","45","60","Martial Arts,Fantasy,Drama,Romance,Historical,Wuxia,Supernatural","宸汐缘","iQiyi,Viki","1023","311","8.6","1337","Calm Male Lead,Older Man/Younger Woman,Multiple Couples,Interspecies Romance,Phoenix,Deity,Xianxia,Love Triangle,Strong Male Lead,Power Struggle","4079"
"JIN 2","","Apr 17, 2011 - Jun 12, 2011","Sunday","Japan","45","11","Historical,Medical,Sci-Fi","仁 2","TBS","1991","312","0","0","Edo Period,Adapted From A Manga,Doctor,Time Travel,Nikkan Daily Sports Drama GP","2003"
"Project S: SPIKE","","May 20, 2017 - Jul  8, 2017","Saturday","Thailand","45","8","Youth,Sports,Melodrama,Friendship","โปรเจกต์ เอส เดอะซีรีส์: วอลเลย์บอล","GMM 25","2145","313","8.6","775","Volleyball,Selfish Character,Father-Son Relationship,Bisexual,Bromance,Team Work,Orphan Male Lead,High School,Character Development","1834"
"Hello Monster","I Remember You,Hellomonseuteo,헬로몬스터","Jun 22, 2015 - Aug 11, 2015","Monday,Tuesday","South Korea","70","16","Comedy,Action,Psychological,Drama,Romance,Detective,Investigation,Mystery,Thriller,Crime","너를 기억해","KBS2","50","314","8.5","15404","Hidden Identity,Bromance,Secret,Psychopath,Obsession,Slight Romance,Eccentric Male Lead,EXO,Criminal Profiler,Serial Killer","31667"
"Her Private Life","Her Personal Life,Geunyeoui Sasaenghwal","Apr 10, 2019 - May 30, 2019","Wednesday,Thursday","South Korea","75","16","Business,Comedy,Friendship,Life,Drama,Romance,Family","그녀의 사생활","tvN","94","315","8.5","12654","Calm Male Lead,Steamy Kiss,Nice Male Lead,Pretend Relationship,Sismance,Boss/Employee Relationship,Idol,Charming Male Lead,Hidden Personality,Strong Female Lead","23475"
"Angel's Last Mission: Love","Hanaui Sarang,One Love,Love of My Life,Dan,One and Only Love,Only Love,Dahn","May 22, 2019 - Jul 11, 2019","Wednesday,Thursday","South Korea","35","32","Fantasy,Comedy,Drama,Romance,Supernatural","단, 하나의 사랑","KBS2","179","317","8.5","7585","Tearjerker,Nice Male Lead,Ballerina,Cohabitation,Strong Female Characters,Heiress,Angel,Orphan Female Lead,Rich Female Lead,Strong Female Lead","16511"
"Kleun Cheewit","Kluen Cheewit,Life's Waves,Waves of Life","Jan 23, 2017 - Mar 13, 2017","Monday,Tuesday","Thailand","110","15","Drama,Romance,Melodrama","คลื่นชีวิต","Channel 3","793","320","8.6","2916","Hate To Love,Actor,Obsession,Romantic Chemistry,Celebrity,Sismance,Revenge,Slap And Kiss,Rich Female Lead,Strong Female Lead","5154"
"Moon Embracing the Sun","The Moon Embracing the Sun,La luna abraza al sol,La luna abrazando el sol,The Sun and the Moon,The Moon that Embraces the Sun,Haereul Poomeun Dal","Jan  4, 2012 - Mar 15, 2012","Wednesday,Thursday","South Korea","65","20","Historical,Romance,Fantasy,Political","해를 품은 달","MBC","53","322","8.5","15272","Fate,First Love,Hidden Identity,Death,Time Skip,Family Secret,Lovers Separated,Amnesia,Power Struggle,Star Crossed Lovers","30701"
"Liar Game 2","","Nov 10, 2009 - Jan 19, 2010","","Japan","45","9","Suspense,Psychological,Drama","ライアーゲーム 2","Fuji TV","407","324","8.5","5424","Ex-convict,Friendship,Game,Adapted From A Manga,Betrayal,Debt","9152"
"Misty","Miseuti","Feb  2, 2018 - Mar 24, 2018","Saturday,Friday","South Korea","70","16","Suspense,Tragedy,Investigation,Romance,Melodrama,Mystery,Thriller","미스티","jTBC","720","325","8.6","2044","Calm Male Lead,Marriage,Competent Protagonist,Tough Female Lead,Cold Woman,Corruption,Smart Male Lead,Murder,Strong Female Lead,Calm Female Lead","5664"
"Full House","Woon Nuk Ruk Tem Barn","Jan 11, 2014 - Mar 16, 2014","Saturday,Sunday","Thailand","50","20","Romance,Comedy","วุ่นนัก รักเต็มบ้าน","True4U","312","326","8.5","6724","Childish Male Lead,Marriage Of Convenience,Hate To Love,Naive Female Lead,Cohabitation,Contract Relationship,Bickering Couple,Celebrity,Rich Man/Poor Woman,Second Lead Syndrome","11859"
"Love Me If You Dare","Love Me,Please Close Your Eyes,Ta Lai Le,If You Dare,He Has Arrived,Qing Bi Yan","Oct 15, 2015 - Jan  4, 2016","Thursday","China","45","24","Suspense,Psychological,Investigation,Romance,Detective,Mystery,Thriller,Crime","他来了, 请闭眼","Dragon TV","163","327","8.5","7877","First Love,Quirky Male Lead,Bromance,Psychopath,Adapted From A Novel,Tragic Past,Eccentric Male Lead,Serial Killer,Crime Solving,Murder","17392"
"Memory","Gieok","Mar 18, 2016 - May  7, 2016","Saturday,Friday","South Korea","65","16","Medical,Life,Law,Drama,Romance,Family","기억","tvN","1027","329","8.6","869","Lawyer,Father-Son Relationship,Office Romance,Bromance,Team Work,Crime Against Children,Mother-Son Relationship,Married Couple,Alzheimer's Disease,Calm Female Lead","4068"
"Mad Dog","Maedeu Dog,Maedeudok","Oct 11, 2017 - Nov 30, 2017","Wednesday,Thursday","South Korea","60","16","Action,Investigation,Detective,Mystery,Thriller","매드 독","KBS2","305","328","8.5","4956","Vigilante,Enemy Mine,Police Officer,Mean Male Lead,Corruption,Revenge,Tragic Past,Fraud,Strong Female Lead,Insurance","11972"
"Love Playlist: Season 4","Love Playlist 4","Jun 19, 2019 - Aug 10, 2019","Saturday,Wednesday","South Korea","20","16","School,Friendship,Life,Drama,Romance","연애플레이리스트 시즌4","Naver TV Cast,vLive","2870","334","8.6","585","Older Woman/Younger Man,Miniseries,Multiple Mains,College Life,Web Series,Multiple Couples","1222"
"Pinocchio","Pinokio","Nov 12, 2014 - Jan 15, 2015","Wednesday,Thursday","South Korea","58","20","Comedy,Drama,Romance,Melodrama,Mystery,Thriller","피노키오","SBS","8","338","8.5","31568","First Love,Hidden Identity,Childhood Friends,Cohabitation,Family,Double Identity,Revenge,Tragic Past,Adopted Siblings Love,Love Triangle","56749"
"99.9: Keiji Senmon Bengoshi - Season II","99.9 Criminal Lawyer Season II","Jan 14, 2018 - Mar 18, 2018","Sunday","Japan","60","9","Law,Investigation,Comedy","99.9-刑事専門弁護士-Season II","TBS","2613","341","0","0","Arashi,Eccentric Male Lead,Signature Move,Idol Actor,Puns,Hey! Say! Jump,Nikkan Daily Sports Drama GP","1395"
"Arthdal Chronicles Part 1: The Children of Prophecy","Aseudal,Part 1: The Children of Prophesy,The Chronicles of Aseudal,Asdal Chronicles,The Asdal Chronicles,The Chronicles of Arthdal,Aseudal Yeondaegi,Asadal Chronicles","Jun  1, 2019 - Jun 16, 2019","Saturday,Sunday","South Korea","80","6","Fantasy,Political,Drama,Romance,Historical","아스달 연대기 Part 1 예언의 아이들","tvN,Netflix","368","343","8.5","4207","Slavery,Hidden Identity,Curse,Clan,Warlord,Multiple Mains,War,Ambitious Lead,Identical Twins,Power Struggle","10082"
"The Prince of Tennis","Fen Dou Ba Shao Nian,网球少年,奋斗吧少年,Tennis Boys,Wang Qiu Shao Nian","Jul 22, 2019 - Sep  3, 2019","Monday,Wednesday,Tuesday","China","45","40","School,Youth,Sports,Friendship","奋斗吧，少年！","","2343","347","8.7","617","Teamwork,Bromance,Tennis Player,High School,Romance,Adapted From A Manga,Prodigy","1623"
"Oh My Ghostess","Oh My Ghost,,O Naui Gwishinnim","Jul  3, 2015 - Aug 22, 2015","Saturday,Friday","South Korea","60","16","Romance,Comedy,Food,Supernatural","오 나의 귀신님","tvN","29","353","8.5","23567","Identity Swap,Ghost,Low Self-esteem Protagonist,Shamanism,Boss/Employee Relationship,Eccentric Character,Chef,Cold Man/Warm Woman,Death Of Main Character,Love Triangle","40834"
"City Hunter","ShiTiHeonTeo,Cazador de la ciudad","May 25, 2011 - Jul 28, 2011","Wednesday,Thursday","South Korea","70","20","Suspense,Political,Action,Romance,Mystery,Thriller,Crime","시티헌터","SBS","13","352","8.5","29759","Hidden Identity,Vigilante,Secret,Fluffy,Corruption,Revenge,Adapted From A Manga,Smart Male Lead,Strong Male Lead,Strong Female Lead","50938"
"Secret",",Pimil,Secrets,Bimil,Secret Love","Sep 25, 2013 - Nov 14, 2013","Wednesday,Thursday","South Korea","62","16","Drama,Romance,Tragedy,Melodrama","비밀","KBS2","104","354","8.5","11833","Hate To Love,Naive Female Lead,Slow Burn Romance,Obsession,Innocent Female Lead,Rich Man/Poor Woman,Love Square,Revenge,Prison,Rich Male Lead","21919"
"Dong Yi","Jewel in the Crown,Dongi","Mar 22, 2010 - Oct 12, 2010","Monday,Tuesday","South Korea","65","60","Adventure,Political,Drama,Romance,Historical","동이","MBC","484","356","8.5","3706","King,Smart Female Lead,Harem,Joseon Dynasty,Political Intrigue,Skilled Killer,Death,Strong Female Lead,Power Struggle","7874"
"N no Tame ni","The Testimony of N,For N","Oct 17, 2014 - Dec 19, 2014","Friday","Japan","45","10","Romance,Mystery,Friendship","Nのために","TBS","1108","358","8.6","1264","Minato Kanae,Abuse,Child Abuse,Older Woman/Younger Man,Adapted From A Novel,Investigation,Crime,Death,Murder","3766"
"The World Between Us","No Outsiders,Wo Men Yu E De Ju Li","Mar 24, 2019 - Apr 21, 2019","Sunday","Taiwan","60","10","Drama,Crime,Family,Life","我們與惡的距離","PTS","4079","364","9.1","113","Lawyer,Tearjerker,Journalism,Gun Violence,Law,Sibling,Journalist,Mental Health,Death","728"
"Kaizoku Sentai Goukaiger","Pirate Sentai Gokaiger,Pirate Crew Theft Ranger,Pirate Squadron Gokaiger","Feb 13, 2011 - Feb 19, 2012","","Japan","25","51","Fantasy,Adventure,Friendship,Tokusatsu,Action,Youth","海賊戦隊ゴーカイジャー","TV Asahi","2886","368","8.6","559","Space Pirate,Superhero,Anniversary,Alien","1211"
"HIStory2: Right or Wrong","HIStory 2: shi and fei,HIStory 2 - 是非,HIStory 2: Right or Wrong,HIStory2是非,HIStory2: Shi and Fei,HIStory2-是非","Jan 30, 2018 - Feb 21, 2018","Wednesday,Tuesday","Taiwan","25","8","Drama,Romance","HIStory2- 是非","CHOCO TV","639","369","8.5","4029","Steamy Kiss,Nice Male Lead,Gay Character,Single Parent,Student/teacher,Age Gap,LGBTQ+,Bisexual Character,Web Series,Gay Relationship","6178"
"Asa ga Kita","Sunshiny Asa","Sep 28, 2015 - Apr  2, 2016","Saturday,Friday,Monday,Thursday,Wednesday,Tuesday","Japan","15","156","Historical,Business,Family,Life","あさが来た","NHK","3607","370","8.9","190","Morning Drama,Asadora","871"
"God's Gift: 14 Days","Shineui Seonmool - 14 il,Regalo de Dios-14 días,Regalo de Dios,Sineui Seonmool: 14-il,Sineui Seonmool - 14-il,Regalo de Dios: 14 dias","Mar  3, 2014 - Apr 22, 2014","Monday,Tuesday","South Korea","65","16","Suspense,Drama,Investigation,Mystery,Thriller,Supernatural","신의 선물 - 14일","SBS","330","372","8.5","5117","Smart Female Lead,Kidnapping,Time Travel,Serial Killer,Mother-Daughter Relationship,Murder,Strong Female Lead","11221"
"Theory of Love","Tridsadee jeeb thur","Jun  1, 2019 - Aug 17, 2019","Saturday","Thailand","50","12","Drama,Romance,Comedy","ทฤษฎีจีบเธอ","GMM 25","564","373","8.5","3925","Bisexual,Unrequited Love,Gay Character,Adapted From A Novel,Heartbreak,Playboy Male Lead,Friends To Lovers,Bisexual Male Lead,Multiple Couples,Gay Relationship","6936"
"Our Skyy","","Nov 23, 2018 - Dec 21, 2018","Friday","Thailand","50","5","Drama,Romance,Comedy","OUR SKYY อยากเห็นท้องฟ้าเป็นอย่างวันนั้น","LINE TV,GMM 25","898","375","8.5","2009","Omnibus,Gay Character,Body Swap,Multiple Mains,LGBTQ+,Multiple Couples,Gay Relationship","4530"
"Vagabond","Baegabondeu","Sep 20, 2019 - Nov 23, 2019","Saturday,Friday","South Korea","70","16","Action,Investigation,Melodrama,Thriller,Crime","배가본드","Netflix,SBS","218","378","8.5","6210","National Intelligence Service,Stunt Man,Corruption,Agent,Plane Crash,Revenge,Terrorist,Spy,Death,Death Of A Child","14770"
"The Sound of Your Heart",",The Sound of Your Mind,Sound of Your Heart,Sound of Heart","Nov  9, 2016 - Jan  6, 2017","","South Korea","15","20","Family,Sitcom,Comedy","마음의 소리","Naver TV Cast,Netflix","587","385","8.5","2761","Family Relationship,Father-Son Relationship,Adapted From A Webtoon,Mother-Son Relationship,Miniseries,Sibling,Web Series,Slow Romance","6657"
"Happy Birthday","","Oct  7, 2018 - Dec 30, 2018","Sunday","Thailand","50","13","Fantasy,Drama,Romance,Family,Supernatural","Happy Birthday วันเกิดของนาย วันตายของฉัน","GMM 25","2748","386","8.6","421","Ghost,Sibling,Ghost-seeing Male Lead,Suicide","1311"
"Hi Bye, Mama!","Mother,안녕 엄마,Goodbye Mom,Hello,haibai,Mom,mama!,Annyeong Eomma","Feb 22, 2020 - Apr 12, 2020","Saturday,Sunday","South Korea","70","16","Fantasy,Medical,Comedy,Friendship,Drama,Romance,Melodrama,Family,Supernatural","하이바이, 마마!","tvN,Netflix","1597","366","8.8","349","Reincarnation,Father-Daughter Relationship,Multiple Character Stories,Single Father,Ghost,Heartbreak,Married Couple,Attempted Suicide,Mother-Daughter Relationship,Death","2575"
"Until We Meet Again","Day daeng,The Red Thread,Until We Meet Again: The Series,Red String","Nov  9, 2019 - Mar  1, 2020","Saturday","Thailand","45","17","School,Fantasy,Tragedy,Food,Drama,Youth,Romance,Family","ด้ายแดงซีรีส์ Until We Meet Again the Series","LINE TV","550","389","8.5","2979","Reincarnated Lovers,Reincarnation,Nice Male Lead,Gay Character,Adapted From A Novel,Student,LGBTQ+,College Life,Soulmates,Gay Relationship","7153"
"SPEC: Birth","Keizoku 2,ケイゾク 2,スペック,SPEC ~ Keishichou Kouanbu Kouan Daigoka Mishou Jiken Tokubetsu Taisakugakari Jikenbo","Oct  8, 2010 - Dec 17, 2010","Friday","Japan","45","10","Detective,Mystery,Comedy,Supernatural","SPEC〜警視庁公安部公安第五課 未詳事件特別対策係事件簿〜","TBS","1328","391","8.5","1456","","3145"
