"name","other_names","air_dates","air_days","country","duration","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_num_reviews","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers","db_rating","db_num_ratings","image_path"
"Age of Youth","Belle Epoque ,  Cheongchunshidae ,  Hello, My Twenties! ,  Youth Age ,  Chungchoonshidae","Jul 22, 2016 - Aug 27, 2016","Friday, Saturday","South Korea","60 min.","12","Friendship,  Mystery,  Comedy,  Romance,  Life,  Youth,  Drama","청춘시대","jTBC","#74","#144","75 users","8.8","15230","Housemate, Female Centered Plot, Sismance, College Life, Multiple Mains, Coming Of Age, Strong Female Lead, Multiple Couples, Strong Female Characters, Abusive Relationship (Vote or add tags)","27,004","8.8","25040","age-of-youth.jpg"
"HIStory2: Boundary Crossing","HIStory2-Love Over the Line ,  HIStory2-Crossing the Line ,  HIStory2: Yue Jie","Mar  6, 2018 - Mar 28, 2018","Tuesday, Wednesday","Taiwan","25 min.","8","Friendship,  Romance,  School,  Youth,  Sports","HIStory2-越界","CHOCO TV","#455","#146","46 users","8.8","5714","Gay Relationship, Gay Character, Volleyball, High School, Step-siblings Love, Steamy Kiss, LGBTQ+, Miniseries, Web Series, Obsession (Vote or add tags)","8,302","8.6","15870","history2-boundary-crossing.jpg"
"Mother","Mazā ,   Mazâ","Apr 14, 2010 - Jun 23, 2010","Wednesday","Japan","45 min.","11","Suspense,  Drama,  Family","マザー","NTV","#528","#150","17 users","8.8","1968","Motherhood, Amnesia, Child Abuse, Alzheimer's Disease, Teacher, Kidnapping, Adoption (Vote or add tags)","7,383","","","mother-2010.jpg"
"Partners for Justice 2","Investigation Partners Season 2 ,  Investigation Couple Season 2 ,  Gumbeobnamnyeo 2","Jun  3, 2019 - Jul 29, 2019","Monday, Tuesday","South Korea","35 min.","32","Mystery,  Law,  Drama,  Medical,  Investigation","검법남녀 시즌2","MBC","#1837","#152","10 users","8.8","930","Forensic Science, Prosecutor, Doctor, Rich Female Lead (Vote or add tags)","2,187","8.6","2053","partners-for-justice-2.jpg"
"Unnatural","Annachuraru ,  Unnatural Death","Jan 12, 2018 - Mar 16, 2018","Friday","Japan","45 min.","10","Suspense,  Mystery,  Medical,  Investigation","アンナチュラル","TBS","#1180","#154","9 users","8.8","1410","Forensic, Police Procedural, Smart Female Lead, Strong Female Lead (Vote or add tags)","3,548","9.4","362292","unnatural.jpg"
"Kingdom","Kingdeom","Jan 25, 2019","Friday","South Korea","51 min.","6","Action,  Suspense,  Thriller,  Historical,  Horror,  Zombies,  Political","킹덤","Netflix","#353","#158","30 users","8.8","5503","Power Struggle, Adapted From A Webtoon, Joseon Dynasty, Corruption, Gore, Evil Queen, Strong Male Lead, Doctor, Death, King (Vote or add tags)","10,590","8.5","103688","kingdom.jpg"
"You Who Came from the Stars","Man From Another Star ,  Byeoleseo On Geudae ,  Man From The Stars ,  My Love from Another Star ,  You Came From the Stars ,  My Lover From The Stars ,  You From Another Star ,  별에서 온 남자 ,  Byeoleseo On Namja ,  My Love from the Star ,  Tú, que viniste de las estrellas ,  Mi amor de las ,","Dec 18, 2013 - Feb 27, 2014","Wednesday, Thursday","South Korea","58 min.","21","Comedy,  Romance,  Drama,  Melodrama,  Supernatural","별에서 온 그대","SBS","#3","#162","195 users","8.7","39004","Interspecies Romance, Celebrity, Superhuman Strength, Time Manipulation, Special Power, Famous Actress, Sassy Female Lead, Star Crossed Lovers, Female Chases Male First, Steamy Kiss (Vote or add tags)","63,245","8.4","243199","you-who-came-from-the-stars.jpg"
"Strangers from Hell","Taineun Jiokida ,  Others Are Hell ,  Hell Is Other People ,  Taineun Jiogida","Aug 31, 2019 - Oct  6, 2019","Saturday, Sunday","South Korea","60 min.","10","Thriller,  Mystery,  Horror,  Psychological,  Drama","타인은 지옥이다","OCN","#502","#161","20 users","8.8","2711","Adapted From A Webtoon, Dark Plot, Hostel, Murder, Mental Illness, Gaslighting, Hot-tempered Male Lead, PTSD, Workplace Abuse, Obsession (Vote or add tags)","7,708","8.4","55091","strangers-from-hell.jpg"
"Eulachacha Waikiki","Go Go Waikiki ,  Welcome to Waikiki ,  Laughter in Waikiki","Feb  5, 2018 - Apr 17, 2018","Monday, Tuesday","South Korea","1 hr. 5 min.","20","Friendship,  Comedy,  Romance,  Life,  Youth,  Drama","으라차차 와이키키","jTBC","#144","#163","47 users","8.7","8738","Housemate, Bromance, Friends To Lovers, Single Parent, Motherhood, Funny Character, Babysitting, Cohabitation, Single Mother, Secondary Couple (Vote or add tags)","18,437","8.6","32707","eulachacha-waikiki.jpg"
"Just Between Lovers","Just In Love ,  Just Lovers ,  Rain or Shine ,  Geunyang Saranghaneun Sai","Dec 11, 2017 - Jan 30, 2018","Monday, Tuesday","South Korea","1 hr. 13 min.","16","Psychological,  Romance,  Melodrama","그냥 사랑하는 사이","jTBC","#79","#164","101 users","8.7","11899","Trauma, Nice Male Lead, Poor Male Lead, Hardworking Male Lead, Strong Male Lead, Hardworking Female Lead, Tearjerker, Slow Burn Romance, Tragic Past, Poor Female Lead (Vote or add tags)","26,233","8.5","8184","just-between-lovers.jpg"
"Battle of Changsha","战长沙","Mar  8, 2014 - Mar 19, 2014","Tuesday","China","45 min.","32","Military,  Historical,  Romance,  Life,  Family,  War,  Tragedy","戰長沙","BTV","#1154","#166","21 users","8.8","1046","Sino-japanese War, World War 2, Tearjerker, Adapted From A Novel, Death, Siblings Relationship, Soldier, Older Man/Younger Woman, Age Gap, Siblinghood (Vote or add tags)","3,630","9.1","133641","battle-of-changsha.jpg"
"The Master's Sun","The Sun of My Master ,  The Sun Of The Lord ,  Master's Sun","Aug  7, 2013 - Oct  3, 2013","Wednesday, Thursday","South Korea","1 hr. 2 min.","17","Horror,  Psychological,  Comedy,  Romance,  Drama,  Melodrama,  Supernatural","주군의 태양","SBS","#17","#165","157 users","8.7","29110","Ghost, Rich Male Lead, Arrogant Male Lead, Trauma, Clingy Female Lead, Obsession, Secondary Couple, Successful Male Lead, Eccentric Female Lead, Heir (Vote or add tags)","47,144","8.6","96499","the-masters-sun.jpg"
"My Father is Strange","Abeojiga Isanghae ,  Father is Strange","Mar  4, 2017 - Aug 27, 2017","Saturday, Sunday","South Korea","1 hr. 6 min.","52","Comedy,  Romance,  Drama,  Family","아버지가 이상해","KBS2","#295","#167","35 users","8.7","5171","Huge Family, Family Secret, Eccentric Female Lead, Sisterhood, Mother-Son Relationship, Father-Son Relationship, Evil Mother-in-law, Strong Female Lead, Sibling, Fake Incest (Vote or add tags)","12,194","8.6","4601","my-father-is-strange.jpg"
"Reply 1997","Respond 1997 ,  Answer To 1997 ,  Eungdabhara 1997 ,  Answer Me 1997 ,  Respond To 1997 ,  Contéstame 1997","Jul 24, 2012 - Sep 18, 2012","Tuesday","South Korea","60 min.","16","Friendship,  Comedy,  Romance,  Life,  School,  Youth,  Family","응답하라 1997","tvN","#25","#168","115 users","8.7","23361","High School, Childhood Friends, Friends To Lovers, 1990s, First Love, Best Friends, Strong Friendship, Father-Daughter Relationship, Mother-Daughter Relationship, Male Chases Female First (Vote or add tags)","42,113","9","89738","reply-1997.jpg"
"Strong Woman Do Bong Soon","Himsseonyeoja Dobongsun ,  Powerful Woman Do Bong Soon ,  Strong Girl Do Bong Soon ,  Strong Woman Do Bong-soon ,  A Strong Woman Do Bongsoon ,  Strong Girl Bong-soon","Feb 24, 2017 - Apr 15, 2017","Friday, Saturday","South Korea","1 hr. 7 min.","16","Action,  Thriller,  Comedy,  Romance,  Drama,  Supernatural","힘쎈여자 도봉순","jTBC","#6","#169","158 users","8.7","37618","Superhuman Strength, Strong Female Lead, Love Triangle, Strong Girl, Bodyguard, Rich Man/Poor Woman, Fluffy, Bromance, Psychopath, Amusement Park (Vote or add tags)","58,587","7.8","43092","strong-woman-do-bong-soon.jpg"
"Eternal Love of Dream","三生三世枕上書 ,  San Sheng San Shi Zhen Shang Shu ,  Three Lives, Three Worlds, The Pillow Book ,  Eternal Love, The Pillow Book","Jan 22, 2020 - Mar  5, 2020","Thursday, Friday, Saturday","China","45 min.","56","Adventure,  Friendship,  Historical,  Romance,  Wuxia,  Drama,  Fantasy,  Melodrama,  Supernatural","三生三世枕上书","Tencent Video","#809","#170","23 users","8.9","637","Cold Man/Warm Woman, Xianxia, Immortal, Adapted From A Novel, Nine-tailed Fox, Love Triangle, God, Older Man/Younger Woman, Princess, Age Gap (Vote or add tags)","5,045","6.3","204770","eternal-love-of-dream.jpg"
"Chief Kim","Mister Kim ,  Kim Gwajang ,  Good manager ,  Kimgwajang","Jan 25, 2017 - Mar 30, 2017","Wednesday, Thursday","South Korea","60 min.","20","Business,  Comedy,  Drama","김과장","KBS2","#208","#177","44 users","8.7","6482","Hilarious Male Lead, Eccentric Male Lead, Bromance, Con Artist, Smart Male Lead, Minimal Romance, Strong Friendship, Character Development, Accountant, Smart Female Lead (Vote or add tags)","14,995","8.4","5312","chief-kim.jpg"
"Because This is My First Life","Yibun Saengeun Cheoeumira ,  This Life is Our First ,  Ibeon Saengeun Cheoeumira","Oct  9, 2017 - Nov 28, 2017","Monday, Tuesday","South Korea","1 hr. 10 min.","16","Friendship,  Comedy,  Romance,  Life","이번 생은 처음이라","tvN","#51","#176","117 users","8.7","17996","Marriage Of Convenience, Housemate, Contract Relationship, Multiple Couples, Cohabitation, Writer, Socially Awkward Protagonist, Sismance, Nerdy Male Lead, Poor Female Lead (Vote or add tags)","30,901","8.5","82893","because-this-is-my-first-life.jpg"
"I Hear Your Voice","Neoui Moksoriga Deulleo ,   I Can Hear Your Voice ,   The Voice You Can't Hear","Jun  5, 2013 - Aug  1, 2013","Wednesday, Thursday","South Korea","60 min.","18","Thriller,  Mystery,  Law,  Romance,  Drama,  Supernatural","너의 목소리가 들려","SBS","#15","#181","152 users","8.7","27686","Revenge, Special Power, Age Gap, Older Woman/Younger Man, Male Chases Female First, Trauma, Amnesia, Strong Female Lead, Mind Reading, Lawyer (Vote or add tags)","49,149","8.6","128542","i-hear-your-voice.jpg"
"Nirvana in Fire 2: The Wind Blows in Chang Lin","Nirvana In Fire Season 2: The Wind Blows in Chang Lin ,  Lang Ya Bang Zhi Feng Qi Chang Lin ,  Lang Ya Bang 2","Dec 18, 2017 - Feb 12, 2018","Monday, Tuesday, Wednesday","China","45 min.","50","Military,  Historical,  Romance,  Wuxia,  Drama,  Martial Arts,  Family,  War,  Political","琅琊榜之风起长林","BTV,  Dragon TV","#1381","#180","22 users","8.8","982","Bromance, Scheme, Royalty, Revenge, Skilled Killer, Coup D'etat, Power Struggle, Sword-fight, Betrayal, Death (Vote or add tags)","3,008","8.5","118277","nirvana-in-fire-2-the-wind-blows-in-chang-lin.jpg"
"Go Back Couple","Go Back Spouses ,  Confession Couple ,  Confession Spouses","Oct 13, 2017 - Nov 18, 2017","Friday, Saturday","South Korea","1 hr. 10 min.","12","Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural","고백부부","KBS2","#207","#182","59 users","8.7","7774","Time Travel, Love–Hate Relationship, Marriage, Mother-Daughter Relationship, Misunderstanding, Married Couple, 1990s, Sassy Female Lead, Student, Adapted From A Manhwa (Vote or add tags)","15,054","8.4","7657","go-back-couple.jpg"
"Jewel in the Palace","Dae Jang Geum ,  Great Jang Geum ,  Una joya en el palacio","Sep 15, 2003 - Mar 23, 2004","Monday, Tuesday","South Korea","1 hr. 5 min.","54","Food,  Historical,  Romance,  Drama,  Medical,  Melodrama","대장금","MBC","#390","#186","14 users","8.7","4687","Smart Female Lead, Power Struggle, Royal Cook, Strong Female Lead, Royal Physician, Cooking, Joseon Dynasty (Vote or add tags)","9,560","8.3","43815","jewel-in-the-palace.jpg"
"Bad Guys","Na ppeun nyeo seok deul ,   Bad Boys","Oct  4, 2014 - Dec 13, 2014","Saturday","South Korea","1 hr. 5 min.","11","Action,  Thriller,  Psychological,  Crime,  Investigation","나쁜 녀석들","OCN","#134","#187","48 users","8.7","8561","Smart Male Lead, Psychopath, Murder, Team Work, Police Officer, Police, Serial Killer, Gangster, Violence, Death (Vote or add tags)","19,041","8.3","24484","bad-guys.jpg"
"Kazoku Game","The Family Game","Apr 17, 2013 - Jun 19, 2013","Wednesday","Japan","46 min.","10","Mystery,  Psychological,  Life,  School,  Drama,  Family","家族ゲーム","Fuji TV","#492","#188","17 users","8.7","3070","Adapted From A Novel, Nikkan Daily Sports Drama GP, Housewife Bullying, Mentor, Arashi, Jealousy, Abuse, Infidelity, High School, Eccentric Male Lead (Vote or add tags)","7,809","8.1","39882","kazoku-game.jpg"
"Rebel: Thief Who Stole the People","Yeokjuk: Baeksungeul Hoomchin Dojuk ,  역적 홍길동 ,  Rebel Hong Gil Dong ,  Yeokjeok Honggildong ,  Traitor Hong Gil Dong ,  The Rebel","Jan 30, 2017 - May 16, 2017","Monday, Tuesday","South Korea","60 min.","30","Action,  Friendship,  Thriller,  Historical,  Romance,  Drama,  Melodrama,  Political","역적: 백성을 훔친 도적","MBC","#405","#192","27 users","8.7","3081","Strong Male Lead, Smart Male Lead, Corruption, Rebellion, Joseon Dynasty, Discrimination, Minimal Romance, Underdog, Bromance, Long Lost Sibling (Vote or add tags)","9,237","8.1","480","rebel-thief-who-stole-the-people.jpg"
"Designated Survivor: 60 Days","Jijeongsaengjonja ,  지정생존자 ,  Designated Survivor ,  60-il - Jijeongsaengjonja ,  60 Days, Designated Survivor","Jul  1, 2019 - Aug 20, 2019","Monday, Tuesday","South Korea","1 hr. 10 min.","16","Suspense,  Drama,  Political","60일 - 지정생존자","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#1263","#191","9 users","8.8","1278","Teamwork, Terrorism, Conspiracy, Blue House, National Intelligence Service, National Assembly, Scheme, Team Work, Power Struggle, Western Series Remake (Vote or add tags)","3,329","8.5","4746","designated-survivor-60-days.jpg"
"Empress Ki","Hwatu ,  화투 ,  Qi Empress ,  Battle of Flowers ,  Gi Hwang-hu ,  The Empress Ki","Oct 28, 2013 - Apr 29, 2014","Monday, Tuesday","South Korea","1 hr. 5 min.","51","Historical,  Romance,  Drama,  Melodrama,  Tragedy,  Political","기황후","MBC","#118","#193","83 users","8.7","8630","Strong Female Lead, Power Struggle, Female Lead Action Scenes, Harem, Goryeo Dynasty, Female Warrior, Cross-Dressing, Love Triangle, Royalty, Older Woman/Younger Man (Vote or add tags)","20,612","7.1","6070","empress-ki.jpg"
"Cruel City","Moojungdoshi ,  Eundeukobo ,  Undercover ,  Heartless City","May 27, 2013 - Jul 30, 2013","Monday, Tuesday","South Korea","60 min.","20","Action,  Suspense,  Friendship,  Romance,  Crime,  Detective,  Tragedy,  Investigation","무정도시","jTBC","#177","#198","88 users","8.7","7163","Undercover Agent, Gang, Bromance, Badass Male Lead, Strong Male Lead, Strong Female Lead, Orphan Female Lead, Drug Dealer, Orphan Male Lead, Betrayal (Vote or add tags)","16,603","8.1","4265","cruel-city.jpg"
"Tenno no Ryoriban","Emperor's Cook ,  The Emperor's Cook","Apr 26, 2015 - Jul 12, 2015","Sunday","Japan","55 min.","12","","天皇の料理番","TBS","#1262","#199","9 users","8.8","0","French Cuisine, Western Food, Meiji Period, Chef, Taisho Period, Showa Era, Royal Cook, Adapted From A Novel, Based On True Story (Vote or add tags)","3,332","8.4","12475","tenno-no-ryoriban.jpg"
"Guardian","Zhen Hun","Jun 13, 2018 - Jul 25, 2018","Wednesday, Thursday","China","45 min.","40","Friendship,  Mystery,  Fantasy,  Detective,  Investigation","镇魂","Youku","#662","#205","41 users","8.7","2155","Censored Romance, Bromance, Adapted From A Novel, Star Crossed Lovers, Reincarnation, Supernatural Power, Lovers Separated, Strong Chemistry, Adapted From A Web Novel, Team Work (Vote or add tags)","5,982","6.7","6541","guardian.jpg"
"Hot Stove League","Seutobeuligeu ,  Seutobeurigeu ,  Stopbrig ,  Stove League","Dec 13, 2019 - Feb 14, 2020","Friday, Saturday","South Korea","1 hr. 2 min.","16","Drama,  Sports,  Melodrama","스토브리그","SBS","#1465","#203","10 users","8.8","972","Baseball, Workplace, Competent Protagonist, Hardworking Male Lead, Mature Protagonist, Cold Man, Team Work, Hardworking Female Lead, Successful Male Lead, General Manager (Vote or add tags)","2,824","9.3","35872","hot-stove-league.jpg"
"Beautiful World","Areumdaun Sesang ,  Areumdawoon Sesang ,  A Beautiful World","Apr  5, 2019 - May 25, 2019","Friday, Saturday","South Korea","60 min.","16","Suspense,  Life,  School,  Drama,  Family,  Melodrama,  Tragedy,  Investigation","아름다운 세상","jTBC,  Viki","#1311","#208","13 users","8.8","1017","Married Couple, Teacher, Tearjerker, Sibling, Student, School Bullying, Strong Female Lead, Violence (Vote or add tags)","3,197","8.4","1480","beautiful-world.jpg"
"Save Me","Goohaejwoe ,  Rescue Me","Aug  5, 2017 - Sep 24, 2017","Saturday, Sunday","South Korea","60 min.","16","Action,  Suspense,  Friendship,  Thriller,  Mystery,  Psychological,  Drama","구해줘","OCN","#195","#209","47 users","8.7","6107","Cult, Smart Female Lead, Strong Female Lead, Dark Plot, Deception, Church, Adapted From A Webtoon, Manipulative Character, Odd Characters, Strong Male Lead (Vote or add tags)","15,667","7.6","2914","save-me.jpg"
"Moon Lovers: Scarlet Heart Ryeo","Moon Lovers ,  Time Slip: Ryeo ,  Daleui Yeonin - bobogyeongsim Ryeo ,  Moon Lovers – Scarlet Heart: Ryeo ,  Scarlet Heart: Goryeo ,  Scarlet Heart: Ryeo ,  Dalui Yeonin - Bobogyungsim Ryeo","Aug 29, 2016 - Nov  1, 2016","Monday, Tuesday","South Korea","60 min.","20","Action,  Historical,  Romance,  Drama,  Melodrama,  Tragedy,  Political","달의 연인 - 보보경심 려","SBS","#18","#211","156 users","8.7","26600","Goryeo Dynasty, Time Travel, Adapted From A Novel, Power Struggle, Death, Love Triangle, Male Chases Female First, Reverse-Harem, Gwangjong Of Goryeo, Character Development (Vote or add tags)","46,684","6.9","34188","moon-lovers-scarlet-heart-ryeo.jpg"
"Le Coup de Foudre","Wo Bu Xi Huan Zhe Shi Jie, Wo Zhi Xi Huan Ni ,  I Don't Like This World, I Only Like You ,  Wo Zhi Xi Huan Ni ,  我不喜欢这世界，我只喜欢你 ,  Love at First Sight ,  I Only Like You","Apr 29, 2019 - Jun  3, 2019","Monday, Tuesday, Wednesday","China","45 min.","35","Friendship,  Business,  Romance,  Life,  Youth","我只喜欢你","Tencent Video,  Youku","#665","#213","50 users","8.7","2655","High School To Working Life, Multiple Couples, Sibling, Adapted From A Novel, Friends To Lovers, Lovers Separated, Marriage, High School, Sismance, Filmed Abroad (Vote or add tags)","5,978","7.5","66150","le-coup-de-foudre.jpg"
"Circle","Sseokeul: Ieojin Du Segye ,  Circle: Two Connected Worlds ,  Sseokeul: Yieojin Doo Segye","May 22, 2017 - Jun 27, 2017","Monday, Tuesday","South Korea","60 min.","12","Mystery,  Psychological,  Drama,  Sci-Fi,  Investigation","써클: 이어진 두 세계","tvN","#200","#216","40 users","8.7","5909","Future, Alien, Strong Female Lead, Bromance, Strong Friendship, Idol Actor, Scientist, Teamwork, Smart Female Lead, Calm Female Lead (Vote or add tags)","15,251","8","3059","circle.jpg"
"The King’s Avatar","Quan Zhi Gao Shou ,  电视剧全职高手 ,  Dian Shi Ju Quan Zhi Gao Shou ,  Full-time master","Jul 24, 2019 - Aug 30, 2019","Thursday, Friday, Saturday","China","45 min.","40","Action,  Adventure,  Friendship,  Sports,  Fantasy","全职高手","iQiyi,  iQiyi","#438","#218","39 users","8.7","2688","Online Gaming, Game, Gamers, Professional Gaming, Strategist Gaming, E-sport Industry, Strong Female Characters, Mature Protagonist, Teamwork, Team Mates (Vote or add tags)","8,560","7.4","111863","the-kings-avatar.jpg"
"When the Camellia Blooms","Camellia Blooms ,  When Camellia Blooms ,  Dongbaekggoch Pil Muryeob ,  Dongbaekkkot pil muryeop ,  Dong-baek-ggoch pil mu-ryeob ,  Dongbaek-kkot pil muryeop ,  Dongbaekkkot pil mooryeob","Sep 18, 2019 - Nov 21, 2019","Wednesday, Thursday","South Korea","35 min.","40","Thriller,  Comedy,  Romance,  Drama,  Family","동백꽃 필 무렵","KBS2,  Netflix,  Netflix,  Netflix,  Netflix","#327","#215","20 users","8.7","4726","Single Mother, Mystery, Motherhood, Serial Killer, Police Officer, Mother-Son Relationship, Hardworking Female Lead, Dorky Male Lead, Murder, Male Chases Female First (Vote or add tags)","11,246","8.5","24867","when-the-camellia-blooms.jpg"
"Be Melodramatic","Yeoeuido Scandal ,  여의도 스캔들 ,  Melo is My Nature ,  Melloga Chejil ,  Romance Is My Disposition ,  The Nature of a Melo ,  Melo Suits Me","Aug  9, 2019 - Sep 28, 2019","Friday, Saturday","South Korea","1 hr. 5 min.","16","Friendship,  Comedy,  Romance,  Life,  Melodrama","멜로가 체질","jTBC,  Viki","#622","#219","22 users","8.7","2180","Female Centered Plot, Multiple Couples, Single Parent, Multiple Mains, Sismance, Housemate, Entertainment Industry, Strong Female Lead, Single Mother, Best Friends (Vote or add tags)","6,377","9.2","49281","be-melodramatic.jpg"
"Romantic Doctor, Teacher Kim","Romantic Doctor Kim Sa Bu ,  Doctor Romantic ,  Dr Romantic ,  Good Things Get Better ,  The Romantic Doctor","Nov  7, 2016 - Jan 16, 2017","Monday, Tuesday","South Korea","60 min.","20","Romance,  Drama,  Medical","낭만닥터 김사부","SBS","#161","#221","25 users","8.7","8485","Doctor, Strong Female Characters, Hardworking Male Lead, Hardworking Female Lead, Trauma, Smart Male Lead, Male Chases Female First, Strong Female Lead, Competent Boss, Hidden Identity (Vote or add tags)","17,555","8.7","16729","romantic-doctor-teacher-kim.jpg"
"2gether","คั่นกู ,  Because we are together ,  2gether: The Series","Feb 21, 2020 - May 15, 2020","Friday","Thailand","50 min.","13","Comedy,  Romance,  Drama","เพราะเราคู่กัน","GMM 25","#1216","#195","13 users","8.9","679","LGBTQ+, Multiple Couples, Adapted From A Novel, Gay Character, Pretend Relationship (Vote or add tags)","3,447","9.3","12769","2gether.jpg"
"Tonbi","","Jan 13, 2013 - Mar 17, 2013","Sunday","Japan","54 min.","10","Life,  Drama,  Family","とんび","TBS","#951","#225","4 users","8.8","896","Shigematsu Kiyoshi, Adapted From A Novel, Death Of A Parent, Single Parent, Father-Son Relationship, Neighbours, Nikkan Daily Sports Drama GP, Marriage Proposal, Marriage (Vote or add tags)","4,305","9.1","3908","tonbi.jpg"
"He's Coming To Me","They're Celebrating Qingming Festival Next To My Grave","Mar  7, 2019 - Apr 25, 2019","Thursday","Thailand","1 hr. 5 min.","8","Friendship,  Mystery,  Comedy,  Romance,  Drama,  Fantasy,  Supernatural","เขามาเชงเม้งข้างๆหลุมผมครับ","LINE TV,  LINE TV,  LINE TV","#826","#224","52 users","8.7","2209","Gay Relationship, Ghost-seeing Male Lead, Adapted From A Novel, Ghost, Gay Character, Nice Male Lead, Interspecies Romance, Tragedy, Tragic Past, Love Triangle (Vote or add tags)","4,931","8.6","3475","hes-coming-to-me.jpg"
"Bpoop Phaeh Saniwaat","Love Destiny ,  Bhuppae Sunniwat ,  Buppe San Nivas ,  Buppesannivas","Feb 21, 2018 - Apr 11, 2018","Wednesday, Thursday","Thailand","1 hr. 50 min.","15","Historical,  Comedy,  Romance,  Drama,  Family,  Fantasy,  Supernatural,  Political","บุพเพสันนิวาส","Channel 3","#1555","#227","24 users","8.7","1343","Time Travel, Sassy Female Lead, Reincarnation, Fated Love, Cohabitation, Nice Male Lead, Eccentric Female Lead, Strong Female Lead, Hidden Identity, Calm Male Lead (Vote or add tags)","2,655","8.2","13005","bpoop-phaeh-saniwaat.jpg"
"Why R U?","Why are you? ,  Why Are You: The Series ,  Why Are You The One ,  The One to Me ,  Why R U?: The Series ,  Why RU?","Jan 24, 2020 - Apr 10, 2020","Friday","Thailand","1 hr. 5 min.","12","Friendship,  Romance,  Fantasy","เพราะรักใช่ป่าว","GMM One,  LINE TV,  LINE TV,  LINE TV","#895","#238","4 users","8.8","961","Gay Relationship, Gay Character, LGBTQ+, Adapted From A Novel, Hate To Love, Multiple Couples, Love–Hate Relationship, Enemies To Lovers, Comedy, Hardworking Male Lead (Vote or add tags)","4,538","7.8","1209","why-r-u.jpg"
"Love by Chance","My Accidental Love is You ,  รักนี้บังเอิญคือคุณ ,  Bangoen Rak","Aug  3, 2018 - Nov  9, 2018","Friday","Thailand","50 min.","14","Friendship,  Romance,  Life,  School,  Youth","บังเอิญรัก","LINE TV,  GMM 25,  LINE TV,  LINE TV","#338","#230","94 users","8.7","6752","Gay Character, LGBTQ+, Gay Relationship, Adapted From A Novel, Multiple Couples, Steamy Kiss, Multiple Mains, College Life, Rich Male Lead, Step-siblings Love (Vote or add tags)","10,833","8.6","12866","love-by-chance.jpg"
"Search: WWW","Geomsaekeoreul Ibryeokhaseyo: WWW ,  Type in Search Word: WWW ,  WWW ,  Search Query: WWW","Jun  5, 2019 - Jul 25, 2019","Wednesday, Thursday","South Korea","1 hr. 10 min.","16","Friendship,  Business,  Comedy,  Romance,  Life,  Drama,  Family","검색어를 입력하세요: WWW","tvN","#260","#232","45 users","8.7","5614","Smart Female Lead, Independent Female Lead, Strong Female Lead, Sismance, Female Centered Plot, Social Media, IT Industry, Team Work, Older Woman/Younger Man, Data Manipulation (Vote or add tags)","13,163","8.4","37806","search-www.jpg"
"Autumn's Concerto","Next Stop, Happiness  ,   Xia Yi Zhan, Xing Fu","Oct  4, 2009 - Feb 28, 2010","Sunday","Taiwan","1 hr. 30 min.","34","Romance,  Drama,  Family","下一站，幸福","TTV","#194","#234","78 users","8.7","8486","Rich Man/Poor Woman, Amnesia, University, Liar Female Lead, Forbidden Love, Hidden Identity, Tearjerker, Male Chases Female First, Love Triangle, Steamy Kiss (Vote or add tags)","15,675","8.2","50376","autumns-concerto.jpg"
"Age of Youth 2","Cheongchunshidae 2 ,  Age of Youth Season 2 ,  Hello, My Twenties! 2 ,  Youth Age 2 ,  Chungchoonshidae 2","Aug 25, 2017 - Oct  7, 2017","Friday, Saturday","South Korea","60 min.","14","Friendship,  Mystery,  Comedy,  Romance,  Life,  Youth,  Drama","청춘시대 2","jTBC","#217","#236","33 users","8.7","8460","Multiple Mains, Female Centered Plot, Housemate, Sismance, Trauma, Multiple Couples, College Life, Taller Woman/Shorter Man (Vote or add tags)","14,792","8.4","9770","age-of-youth-2.jpg"
"Arthdal Chronicles Part 3: The Prelude To All Legends","Aseudal ,  Asadal Chronicles ,  The Asdal Chronicles ,  Asdal Chronicles ,  Aseudal Yeondaegi ,  The Chronicles of Aseudal ,  The Chronicles of Arthdal ,  Part 3: Arth, The Prelude to All Legends","Sep  7, 2019 - Sep 22, 2019","Saturday, Sunday","South Korea","1 hr. 20 min.","6","Historical,  Romance,  Drama,  Fantasy,  Political","아스달 연대기 Part 3 아스, 그 모든 전설의 서곡","tvN,  Netflix,  Netflix,  Netflix,  Netflix","#776","#239","12 users","8.7","2718","Twins, War, Power Struggle, Pre-produced, Revenge, Execution, Ambitious Lead, Identical Twins, Supernatural Power, Gruesome Murder (Vote or add tags)","5,302","7.3","6279","arthdal-chronicles-part-3-the-prelude-to-all-legends.jpg"
"Soredemo, Ikite Yuku","Still, Life Goes On","Jul  7, 2011 - Sep 15, 2011","Thursday","Japan","54 min.","11","Psychological,  Drama,  Family","それでも、生きてゆく","Fuji TV","#1143","#241","11 users","8.7","1064","Healing (Vote or add tags)","3,663","8.6","14614","soredemo-ikite-yuku.jpg"
